type,authors,title,publication,date,link
Workshop,"Devin Becker, Evan Williamson, and Olivia Wikle",CollectionBuilder: A Static Web Approach to Digital Projects in Libraries,ALA Core Classroom,2020,https://osf.io/ku67f/
Article,"Devin Becker, Evan Williamson, and Olivia Wikle","CollectionBuilder-CONTENTdm: Developing a Static Web 'Skin' for CONTENTdm-based Digital Collections",Code4Lib Journal 49,2020,https://journal.code4lib.org/articles/15326
Article,"Olivia Wikle, Evan Williamson, and Devin Becker","What is Static Web and What's it Doing in the Digital Humanities Classroom?","dh+lib, Special Issue: Literacies in a Digital Humanities Context",2020,https://dhandlib.org/2020/06/22/what-is-static-web-and-whats-it-doing-in-the-digital-humanities-classroom/
Presentation,"Olivia Wikle, Evan Williamson, and Devin Becker","CollectionBuilder: Developing an Agile Approach to Digital Collections","Info2Go!, Idaho Commission for Libraries",2020,https://youtu.be/PhXhY5G--p4
Workshop,"Olivia Wikle, Evan Williamson, and Devin Becker","CollectionBuilder: Using Static Web Technologies to Create Digital Collections and Teach DH Principles",ADHO DH2020,2020,https://collectionbuilder.github.io/dh2020/
Workshop,"Evan Williamson, Olivia Wikle, and Devin Becker","A Static Web Approach to Digital Collections: Hands-On with CollectionBuilder",Code4Lib,2020, 
Presentation,"Olivia Wikle, Evan Williamson, and Devin Becker","Metadata + APIs → Beauty: Building Engaging Digital Repository Skins With Static Web Tools",Digital Library Federation Forum,2019,https://osf.io/hteq3/
Workshop,"Olivia Wikle, Evan Williamson, and Devin Becker","Digital Collection Magic with Static Web Technologies: Improving CONTENTdm Front Ends using CollectionBuilder",Learn@DLF,2019,
Presentation,"Olivia Wikle and Evan Williamson","CollectionBuilder: Creating & Teaching Digital Collections with Minimal Infrastructure",ASIS&T Webinar Series,2019,https://osf.io/pfhcy/
Presentation,Evan Williamson and Devin Becker,"GitHub-Pages CollectionBuilder: Teaching & Building Digital Library Collections using Minimal Computing Techniques",DLF Forum,2018,https://osf.io/d8e6b/
